web-scraper-order,web-scraper-start-url,name,location,bedroom,bathroom,land_area,building_area,price
"1716935796-1","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Bagus Di Sindanglaya Menteng Jakarta Pusat","Menteng, Jakarta Pusat","12","4","LT947 m²","LB250 m²","Rp35 Miliar"
"1716935796-2","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Tumah tua jln Gereja ayam, Jakarta pusat","Sawah Besar, Jakarta Pusat","0","0","LT487 m²","LB248 m²","Rp20 Miliar"
"1716935796-3","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Murah Hitung Tanah di Cempaka Putih Jakarta Pusat","Cempaka Putih, Jakarta Pusat","5","2","LT209 m²","LB150 m²","Rp4,59 Miliar"
"1716935796-4","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Menteng Area with classic models","Menteng, Jakarta Pusat","0","0","LT590 m²","LB900 m²","Rp45 Miliar"
"1716935796-5","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Kos Ekslusif Penuh di Tanah Abang","Tanah Abang, Jakarta Pusat","32","32","LT106 m²","LB506 m²","Rp12,7 Miliar"
"1716935796-6","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","DIJUAL RUMAH 2 LANTAI BAGUS ,KOTA JAKARTA PUSAT DAERAH MENTENG","Menteng, Jakarta Pusat","5","5","LT323 m²","LB374 m²","Rp23 Miliar"
"1716935796-7","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Jual Cepat Rumah Murah Banting Harga di Menteng Kota Jakarta Pusat","Menteng, Jakarta Pusat","4","3","LT795 m²","LB1000 m²","Rp38 Miliar"
"1716935796-8","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Lokasi Strategis di Kemayoran S4809","Kemayoran, Jakarta Pusat","3","2","LT289 m²","LB298 m²","Rp7 Miliar"
"1716935796-9","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Hook Lokasi Strategis di Cempaka Putih S4726","Cempaka Putih, Jakarta Pusat","5","2","LT225 m²","LB185 m²","Rp4,5 Miliar"
"1716935796-10","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Hoek Bebas Banjir di Cempaka Putih S4866","Cempaka Putih, Jakarta Pusat","4","4","LT428 m²","LB270 m²","Rp7 Miliar"
"1716935796-11","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Siap Huni Di Kramat Sentiong Jakarta Pusat","Cempaka Putih, Jakarta Pusat","3","2","LT91 m²","LB67 m²","Rp2,8 Miliar"
"1716935796-12","https://www.99.co/id/jual/rumah/jakarta-pusat?hlmn=500&urut=2","Rumah Dijual Di Menteng-Proklamasi, Area Komersil","Menteng, Jakarta Pusat","6","3","LT646 m²","LB455 m²","Rp30 Miliar"
