web-scraper-order,web-scraper-start-url,name,location,bedroom,bathroom,land_area,building_area,price
"1716939237-1","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=125","Ruko bagus siap pakai Petojo Utara Jakarta Pusat","Petojo, Jakarta Pusat","","3","48m2","144m2","Rp 1,9 Miliar"
"1716939240-2","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","RUMAH KOST DI SALEMBA JAKARTA PUSAT","Salemba, Jakarta Pusat","21","21","250m2","300m2","Rp 11 Miliar"
"1716939240-3","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","RUMAH SIAP HUNI DI MENTENG JAKARTA PUSAT","Menteng, Jakarta Pusat","3+1","3+1","149m2","271m2","Rp 8 Miliar"
"1716939240-4","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","RUMAH 2 LANTAI NYAMAN DAN SIAP DIHUNI  INDUSTRI, JAKARTA PUSAT","Gunung Sahari, Jakarta Pusat","4+1","3","83m2","166m2","Rp 1,27 Miliar"
"1716939240-5","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","Kosan Mewah dan Baru 106 Kamar di Senen Jakarta Pusat","Senen, Jakarta Pusat","106","51","774m2","1553m2","Rp 25 Miliar"
"1716939240-6","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","OFFICE SPACE AUTOGRAPH TOWER, THAMRIN NINE, THAMRIN, JAKARTA PUSAT","Thamrin, Jakarta Pusat","","3","385m2","385m2","Rp 26,95 Miliar"
"1716939240-7","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","RUMAH MURAH HANYA 1M DI JAKARTA PUSAT, JL. KAMPUNG BALI","Kebon Kacang, Jakarta Pusat","2","1","34m2","34m2","Rp 1 Miliar"
"1716939240-8","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","RUMAH DI CIDENG, JAKARTA PUSAT","Cideng, Jakarta Pusat","3","2","120m2","140m2","Rp 5 Miliar"
"1716939240-9","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","RUKO ROXY JAKARTA PUSAT 4 LT","Roxy, Jakarta Pusat","3","4","160m2","640m2","Rp 10,5 Miliar"
"1716939240-10","https://www.brighton.co.id/dijual/?Keyword=JAKARTA+PUSAT&OrderBy=5&page=124","TOWN HOME THE MANSION JASMINE BELLAVISTA DI KEMAYORAN JAKARTA PUSAT","Kemayoran, Jakarta Pusat","4","3","117m2","117m2","Rp 4,3 Miliar"
