No.,Listing,Bedroom,Bathroom,Garage,Carport,Kitchen,Dining Room,Living Room,Maid's Room,Maid's Bathrrom,Bulding Area(m^2),Land Area(m^2),Furnished,Condition,Year Built,Price(millions Rp)
1,"Rumah Indent Dlm Gang Lt 22 M2 di Johar Baru , Jakarta Pusat",2,2,0,0,1,0,1,0,0,28,28,No,New,2023,350
2,Rumah Kartini Siap Huni 2 Lantai Harga Masuk Akal,2,1,0,0,0,0,0,0,0,27,54,No,Old,2018,300
3,"Kembali Hadir Rumah Indent 1 Lantai Teristimewa , Disc 50 Jt",2,1,0,1,1,1,1,0,0,40,60,No,New,2024,360
4,Rumah mewah 2 lantai Kemayoran SHM IMB,2,2,0,0,1,1,1,1,1,48,24,Semi,New,2024,350
5,"Rumah di Sukahati Cibinong,cuma 5 Menit Dari Pinggir Jalan",2,1,1,1,1,0,1,0,0,50,60,No,New,2024,352
6,Jual Rumah di Depok Dekat Stasiun Citayam 300 Jutaan,2,1,0,0,0,1,1,0,0,27,81,Semi,New,2024,391
7,Rumah murah mini cluster di percetakan negara,2,2,0,0,1,1,1,0,0,40,20,No,New,2024,360
8,Jual Rumah Cluster di Depok Citayam Dekat Stasiun Citayam 300jtan,2,1,1,0,1,0,1,0,0,32,75,Semi,New,2024,386
9,Rumah Siap Huni baru di renovasi di Griya Parung Panjang,2,2,0,1,1,0,1,0,0,60,84,No,Old,NULL,400
10,"Rumah Murah Kemayoran 2 Lantai, Akses Motor, Shm, Dekat Tol",3,2,1,0,1,1,1,1,1,48,25,Semi,New,2023,450
11,Rumah Modern Kemayoran 2 Lantai dekat PRJ Kemayoran Bagus SHM,2,2,0,0,1,1,1,0,0,40,22,No,New,2023,430
12,Dijual Rumah 2lt di Cempaka Putih Barat Bisa Kpr,2,1,1,0,1,1,1,0,0,34,17,NULL,Old,2020,435
13,RUMAH DIJUAL CEPAT LOKASI STRATEGIS HARGA BIKIN MIRIS,2,1,0,1,1,1,1,0,0,63,40,No,New,2023,435
14,Rumah Miimalis Mewah Desain Scandinavian di Sawangan Depok,2,1,0,1,1,1,1,0,0,32,50,No,New,2023,440
15,Rumah Cantik Di pemda Cibinong dp 0% cicilan 3 jutaan langsung ak,2,1,1,1,1,0,1,0,0,45,67,No,New,2023,450
16,Rumah 2 Lantai dekat Mall Mangga Dua Gunung Sahari Jakarta Pusat,2,2,0,0,1,0,1,0,0,39,20,No,New,2023,473
