web-scraper-order,web-scraper-start-url,name,location,bedroom,bathroom,garage,land_area,building_area,price
1716899274-1,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,Rumah Dijual Di Menteng Teuku Umar  Cocok Untuk Kantor,"Menteng, Jakarta Pusat",8,8,10,2600 m²,1500 m²,Rp 350 Miliar
1716899274-2,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,"Rumah Full Furnished, Renov Dan Layak Huni di Roxy Jakarta Pusat","Roxy, Jakarta Pusat",5,3,1,129 m²,280 m²,"Rp 3,5 Miliar"
1716899274-3,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,"Rumah Menteng Hoek Murah Cilosari, LT 716m2, LB 300 m2 Kawasan Pemukiman Elit Menteng, Akses Jalan 3 Mobil, Dekat Cikini","Menteng, Jakarta Pusat",5,3,3,716 m²,300 m²,"Rp 22,5 Miliar"
1716899274-4,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,"Rumah Mewah di Exclusive Area, Jl. Teuku Umar, Menteng, Jakarta Pusat","Menteng, Jakarta Pusat",10,10,16,2629 m²,1724 m²,Rp 325 Miliar
1716899274-5,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,Rumah Bagus 2 Lantai Cempaka Putih Uk.20x32,"Cempaka Putih, Jakarta Pusat",5,5,2,800 m²,468 m²,Rp 15 Miliar
1716899274-6,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,"Rumah Di Jl Tondano, Bendungan Hilir, Jakarta","Bendungan Hilir, Jakarta Pusat",1,1,,581 m²,230 m²,Rp 22 Miliar
1716899274-7,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,Rumah di ternate roxy jakarta pusat,"Cideng, Jakarta Pusat",6,5,,258 m²,432 m²,Rp 9 Miliar
1716899274-8,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,Rumah di Dwiwarna,"Karang Anyar, Jakarta Pusat",7,2,,84 m²,140 m²,"Rp 1,75 Miliar"
1716899274-9,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,"KODE :08911(Jf) Rumah Sumur Batu, Luas 22,5x14 Meter (315 Meter)","Sumur Batu, Jakarta Pusat",4,3,,315 m²,315 m²,Rp 7 Miliar
1716899274-10,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,"KODE :01627(Jf) Rumah Sumur Batu, Luas 161,5 Meter","Sumur Batu, Jakarta Pusat",,,,161 m²,,"Rp 2,5 Miliar"
1716899274-11,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,Jual Rumah Manis Cempaka Putih 15x33 @LST/S/2565,"Cempaka Putih, Jakarta Pusat",7,4,2,495 m²,750 m²,"Rp 15,5 Miliar"
1716899274-12,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,Rumah Indah Cempaka Putih Uk.15x34,"Cempaka Putih, Jakarta Pusat",10,10,3,535 m²,820 m²,"Rp 20,5 Miliar"
1716899274-13,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,Rumah bagus di daerah cempaka,"Cempaka Putih, Jakarta Pusat",4,4,1,186 m²,270 m²,"Rp 6,75 Miliar"
1716899274-14,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,Rumah lama hitung tanah di Cempaka putih jakarta pusat,"Cempaka Putih, Jakarta Pusat",5,3,,324 m²,260 m²,Rp 5 Miliar
1716899274-15,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,rumah pinggir jalan raya di cempaka putih,"Cempaka Putih, Jakarta Pusat",7,5,,500 m²,600 m²,"Rp 11,5 Miliar"
1716899274-16,https://www.rumah123.com/jual/jakarta-pusat/rumah/?sort=posted-desc&page=1050,"Rumah di tanah abang, jakarta pusat, ijin komersial , strategis dekat gajah mada, cideng, tomang","Tanah Abang, Jakarta Pusat",,,,575 m²,,"Rp 27,5 Miliar"
